,branch,opted_in,total_download_started,total_opted_out,total_move_download,total_cancel_click,cs_provider
0,control,0,0,0,0,0,1
1,notification-interval-short,0,2,0,0,0,1
2,control,0,0,0,0,0,1
3,control,0,0,0,0,0,1
4,notification-interval-longer,0,1,0,0,0,1
5,notification-interval-short,0,0,0,0,0,1
6,notification-interval-short,0,2,0,0,0,1
7,notification-interval-short,0,0,0,0,0,1
8,notification-interval-longer,0,3,0,0,2,1
9,control,0,0,0,0,0,1
11,notification-interval-short,0,18,0,0,0,1
12,notification-interval-longer,0,0,0,0,0,1
13,control,0,3,0,0,0,1
14,control,0,0,0,0,0,1
15,notification-interval-short,0,0,0,0,0,1
16,notification-interval-short,0,1,0,0,0,1
17,notification-interval-short,0,0,0,0,0,1
18,notification-interval-short,0,0,0,0,0,1
19,notification-interval-longer,0,0,0,0,0,1
20,control,0,0,0,0,0,1
21,control,0,0,0,0,0,1
22,notification-interval-short,0,0,0,0,0,1
23,notification-interval-longer,0,0,0,0,0,1
24,control,0,0,0,0,0,1
25,notification-interval-longer,0,20,0,0,0,1
26,notification-interval-short,0,2,0,0,0,1
27,notification-interval-short,0,1,0,0,0,1
28,notification-interval-longer,0,0,0,0,0,1
29,notification-interval-longer,0,0,0,0,0,1
30,notification-interval-longer,0,0,0,0,0,1
31,notification-interval-longer,0,0,0,0,0,2
32,notification-interval-longer,0,0,0,0,0,1
33,control,0,0,0,0,0,1
34,control,0,1,0,0,0,1
35,notification-interval-longer,0,0,0,0,0,1
36,notification-interval-short,0,0,0,0,0,2
37,notification-interval-short,0,51,0,0,2,1
38,control,0,17,0,0,0,1
39,control,0,0,0,0,0,1
40,notification-interval-short,0,0,0,0,0,1
41,notification-interval-longer,0,4,0,0,0,1
42,control,0,0,0,0,0,1
43,notification-interval-short,0,3,0,0,1,1
44,notification-interval-short,0,0,0,0,0,1
45,notification-interval-short,0,0,0,0,0,1
46,notification-interval-longer,0,6,0,0,0,1
47,notification-interval-longer,0,0,0,0,0,1
48,notification-interval-short,0,0,0,0,0,1
49,notification-interval-short,0,0,0,0,0,1
50,notification-interval-short,0,0,0,0,0,1
51,notification-interval-longer,0,2,0,0,0,1
52,notification-interval-short,0,0,0,0,0,1
53,control,0,0,0,0,0,1
54,notification-interval-short,0,0,0,0,0,1
55,notification-interval-longer,0,1,0,0,0,1
56,notification-interval-short,0,25,0,0,0,1
57,notification-interval-short,0,0,0,0,0,1
58,notification-interval-longer,0,0,0,0,0,1
59,notification-interval-longer,0,0,0,0,0,1
60,notification-interval-short,0,1,0,0,0,1
61,notification-interval-longer,0,0,0,0,0,1
62,control,0,0,0,0,0,1
63,notification-interval-longer,0,11,0,0,0,1
64,notification-interval-longer,0,0,0,0,0,1
65,notification-interval-short,0,0,0,0,0,1
66,notification-interval-short,0,0,0,0,0,1
67,control,0,0,0,0,0,2
68,control,0,0,0,0,0,1
69,notification-interval-longer,0,6,0,0,0,2
70,control,0,1,0,0,0,1
71,notification-interval-short,0,0,0,0,0,1
72,notification-interval-short,0,4,0,0,0,1
73,notification-interval-short,0,3,0,0,0,1
74,control,0,0,0,0,0,2
75,control,0,0,0,0,0,1
76,notification-interval-short,0,0,0,0,0,2
77,notification-interval-longer,0,7,0,0,0,1
78,control,0,0,0,0,0,1
79,control,0,0,0,0,0,1
